gameweek,weekday,match_date,start_time,home_team,home_xg,home_score,away_team,away_xg,away_score,attendance,venue,referee
7,Tue,2023-09-19,19:45:00,Preston,0.6,2,Birmingham City,1.1,1,15838,Deepdale Stadium,Dean Whitestone
7,Tue,2023-09-19,20:00:00,Sheffield Weds,1.3,1,Middlesbrough,0.7,1,22975,Hillsborough Stadium,David Webb
7,Wed,2023-09-20,19:45:00,Hull City,1.3,0,Leeds United,1.5,0,24221,MKM Stadium,Stephen Martin
7,Wed,2023-09-20,19:45:00,Watford,0.9,2,West Brom,0.6,2,16742,Vicarage Road Stadium,Leigh Doughty
7,Wed,2023-09-20,19:45:00,Huddersfield,1.0,2,Stoke City,2.3,2,18791,The John Smith's Stadium,Darren Bond
7,Wed,2023-09-20,19:45:00,Blackburn,2.8,1,Sunderland,1.6,3,15621,Ewood Park,John Busby
7,Wed,2023-09-20,19:45:00,Millwall,1.5,3,Rotherham Utd,0.4,0,12563,The Den,Geoff Eltringham
7,Wed,2023-09-20,20:00:00,Norwich City,0.9,0,Leicester City,2.3,2,26277,Carrow Road,Graham Scott
8,Fri,2023-09-22,20:00:00,Birmingham City,1.1,0,QPR,1.0,0,19803,St Andrew's Trillion Trophy Stadium,Matt Donohue
8,Sat,2023-09-23,15:00:00,Plymouth Argyle,3.2,6,Norwich City,1.9,2,16469,Home Park,Andrew Kitchen
8,Sat,2023-09-23,15:00:00,Middlesbrough,3.0,2,Southampton,1.4,1,26141,Riverside Stadium,Tim Robinson
8,Sat,2023-09-23,15:00:00,West Brom,1.4,0,Millwall,1.0,0,22325,The Hawthorns,Tom Nield
8,Sat,2023-09-23,15:00:00,Leicester City,2.3,1,Bristol City,0.3,0,31674,King Power Stadium,James Bell
8,Sat,2023-09-23,15:00:00,Swansea City,2.0,3,Sheffield Weds,0.7,0,16865,Swansea.com Stadium,Anthony Backhouse
8,Sat,2023-09-23,15:00:00,Rotherham Utd,0.1,1,Preston,1.8,1,11434,AESSEAL New York Stadium,Samuel Allison
8,Sat,2023-09-23,15:00:00,Leeds United,2.6,3,Watford,0.2,0,36236,Elland Road,Jeremy Simpson
8,Sat,2023-09-23,15:00:00,Ipswich Town,2.9,4,Blackburn,0.9,3,28792,Portman Road Stadium,Keith Stroud
8,Sun,2023-09-24,12:00:00,Stoke City,0.6,1,Hull City,1.3,3,21142,Bet365 Stadium,Thomas Bramall
8,Sun,2023-09-24,15:00:00,Sunderland,1.2,0,Cardiff City,1.7,1,41581,Stadium of Light,Steve Martin
8,Mon,2023-09-25,20:00:00,Coventry City,2.0,1,Huddersfield,0.7,1,22257,Coventry Building Society Arena,Oliver Langford
9,Fri,2023-09-29,20:00:00,Sheffield Weds,0.5,0,Sunderland,1.6,3,25987,Hillsborough Stadium,Samuel Barrott
9,Sat,2023-09-30,12:30:00,Southampton,1.5,3,Leeds United,0.9,1,30372,St. Mary's Stadium,John Brooks
9,Sat,2023-09-30,15:00:00,Watford,1.3,2,Middlesbrough,1.3,3,18446,Vicarage Road Stadium,Oliver Langford
9,Sat,2023-09-30,15:00:00,Norwich City,1.3,2,Birmingham City,1.1,0,26231,Carrow Road,Gavin Ward
9,Sat,2023-09-30,15:00:00,Huddersfield,1.2,1,Ipswich Town,1.3,1,20000,The John Smith's Stadium,Geoff Eltringham
9,Sat,2023-09-30,15:00:00,Cardiff City,1.2,2,Rotherham Utd,0.6,0,20136,Cardiff City Stadium,Leigh Doughty
9,Sat,2023-09-30,15:00:00,Preston,0.4,0,West Brom,1.5,4,16658,Deepdale Stadium,Joshua Smith
9,Sat,2023-09-30,15:00:00,QPR,1.0,1,Coventry City,1.5,3,16293,MATRADE Loftus Road Stadium,Tom Nield
9,Sat,2023-09-30,15:00:00,Millwall,1.5,0,Swansea City,1.2,3,14803,The Den,John Busby
9,Sat,2023-09-30,15:00:00,Bristol City,1.3,2,Stoke City,1.0,3,21117,Ashton Gate Stadium,Jeremy Simpson
9,Sat,2023-09-30,15:00:00,Hull City,1.7,1,Plymouth Argyle,0.8,1,20312,MKM Stadium,David Webb
